#nbPaire fraction
1.0 100.0
2.0 100.0
3.0 100.0
4.0 100.0
5.0 100.0
6.0 100.0
7.0 100.0
8.0 100.0
9.0 100.0
10.0 100.0
11.0 100.0
12.0 100.0
13.0 100.0
14.0 100.0
15.0 100.0
16.0 100.0
17.0 100.0
18.0 94.44444444444444
19.0 94.73684210526315
20.0 90.0
21.0 90.47619047619048
22.0 90.9090909090909
23.0 86.95652173913044
24.0 87.5
25.0 88.0
26.0 88.46153846153845
27.0 85.18518518518519
28.0 85.71428571428571
29.0 86.20689655172413
30.0 86.66666666666667
31.0 87.09677419354838
32.0 87.5
33.0 84.84848484848484
34.0 85.29411764705883
35.0 85.71428571428571
36.0 83.33333333333334
37.0 83.78378378378379
38.0 81.57894736842105
39.0 79.48717948717949
40.0 80.0
41.0 80.48780487804879
42.0 80.95238095238095
43.0 79.06976744186046
44.0 79.54545454545455
45.0 77.77777777777779
46.0 76.08695652173914
47.0 76.59574468085107
48.0 75.0
49.0 75.51020408163265
50.0 76.0
